Epoch,Train Accuracy %,Train Loss,,Average Accuracy,Average Train Loss
2310,"8,43","3,916",,,
1705,"8,43","3,8984",,,
1845,"8,43","3,7228",,,
1915,"8,43","3,6696",,,
2740,"8,43","3,6322",,,
1750,"8,43","3,5977",,,
1585,"8,43","3,4116",,,
1935,"8,43","3,2675",,,
2915,"8,43","3,1003",,,
2515,"8,43","3,0948",,,
1430,"8,43","3,0691",,,
2205,"8,43","2,9646",,,
2050,"8,43","2,9196",,,
2815,"8,43","2,901",,,
2895,"8,43","2,8726",,,
1105,"8,43","2,8235",,,
2845,"8,43","2,7433",,,
2375,"8,43","2,4939",,,
2175,"8,43","2,473",,,
2315,"8,43","2,454",,,
2185,"8,43","2,305",,,
2660,"8,43","2,2583",,,
2840,"8,43","2,2313",,,
2565,"8,43","1,9085",,,
2400,"7,83","4,605",,,
1150,"7,83","4,1082",,,
1775,"7,83","3,6295",,,
2980,"7,83","3,4519",,,
895,"7,83","3,4187",,,
2485,"7,83","3,1921",,,
2550,"7,83","3,0692",,,
2385,"7,83","3,035",,,
2630,"7,83","2,7141",,,
835,"7,83","2,6835",,,
2705,"7,83","2,6752",,,
2280,"7,83","2,5252",,,
2605,"7,83","2,3661",,,
1820,"7,83","2,1178",,,
2715,"7,83","2,1065",,,
1650,"7,83","2,0723",,,
2355,"7,23","4,8055",,,
2320,"7,23","4,7121",,,
2800,"7,23","4,6518",,,
1835,"7,23","4,5423",,,
905,"7,23","4,3413",,,
2890,"7,23","4,2388",,,
2460,"7,23","4,2253",,,
2160,"7,23","3,8514",,,
2640,"7,23","3,7442",,,
1605,"7,23","3,4224",,,
2350,"7,23","3,318",,,
1405,"7,23","3,1101",,,
1995,"7,23","2,9744",,,
2540,"7,23","2,8567",,,
2865,"7,23","2,7321",,,
2510,"7,23","2,5823",,,
2285,"7,23","2,3112",,,
2425,"6,63","4,0014",,,
1390,"6,63","3,442",,,
2870,"6,63","3,3853",,,
2125,"6,63","3,2976",,,
1840,"6,63","3,2733",,,
2215,"6,63","3,1175",,,
2955,"6,63","2,8595",,,
865,"6,63","2,7392",,,
2505,"6,63","2,5143",,,
1310,"6,63","2,4541",,,
2470,"6,63","2,4251",,,
1375,"6,63","2,3619",,,
1620,"6,63","2,0047",,,
2265,"6,63","1,7432",,,
2095,"6,63","1,6711",,,
1980,"6,63","0,9536",,,
2560,"6,02","4,3388",,,
2480,"6,02","4,0843",,,
2005,"6,02","3,8604",,,
2360,"6,02","3,7066",,,
2340,"6,02","3,7051",,,
2985,"6,02","3,6314",,,
1815,"6,02","3,4939",,,
2270,"6,02","3,1914",,,
2625,"6,02","3,0997",,,
2260,"6,02","3,0641",,,
2500,"6,02","2,9166",,,
2795,"6,02","2,7958",,,
2730,"6,02","2,5648",,,
1860,"6,02","2,3888",,,
